Gene	13_LV	13_RV	2004_LV	2004_RV	2006_LV	2006_RV	2027_LV	2027_RV	2029_LV	2029_RV	2031_LV	2031_RV	2033_LV	2033_RV	2034_LV	2034_RV	2040_LV	2040_RV	2043_LV	2043_RV	2045_LV	2045_RV	2047_LV	2047_RV	2048_LV	2048_RV	2052_LV	2052_RV	3213_LV	3213_RV	3217_LV	3217_RV	5726_LV	5726_RV	5755_LV	5755_RV	5759_LV	5759_RV	5768_LV	5768_RV	5801_LV	5801_RV	5803_LV	5803_RV	5806_LV	5806_RV	5807_LV	5807_RV	5809_LV	5809_RV	5810_LV	5810_RV	5813_LV	5813_RV	5814_LV	5814_RV	5819_LV	5819_RV	5822_LV	5822_RV	5823_LV	5823_RV	5825_LV	5825_RV
Akt2-ps	0	0	0	0	0	0	0	0	0.104009	0	0.218986	0.204259	0	0	0	0	0	0.111934	0	0	0	0	0	0	0.112255	0	0	0	0	0.099769	0	0	0	0	0	0	0	0	0.344717	0.095234	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264604	0.080361	0	0	0.292388	0	0.198386	0	0.659446	0	0
Akt3	20.976698	17.745584	15.857762	23.386873	36.197934	38.299057	23.544	23.313272	23.534803	23.589066	18.849115	18.767635	24.782145	22.450174	12.734563	14.511809	24.576027	25.145637	29.534988	16.943874	31.809715	19.851388	30.591318	23.889759	32.873631	21.711284	35.126561	34.680747	29.093663	26.014767	35.76521	37.979163	22.62103	12.568749	15.033522	17.783959	24.995678	28.486775	33.727313	21.048147	23.859526	18.859988	14.755541	25.036761	24.257818	28.733529	25.799314	20.004375	32.072839	33.397028	32.694651	28.047553	18.415643	26.900318	16.082186	23.966451	22.65766	28.344582	22.092443	16.167417	24.612427	22.851466	19.439078	19.328713
Aktip	24.550151	24.938009	28.749697	18.975326	10.353864	12.485843	22.288105	21.53644	18.212145	25.406279	24.086154	24.088714	22.0257	28.833202	23.226251	30.531661	29.953859	21.463318	27.320556	30.955542	19.23653	25.910928	20.163492	22.424429	18.460215	22.726158	11.731381	10.582399	17.766119	13.769502	16.250109	23.679306	20.326528	27.351364	27.028155	23.830596	15.849393	25.958669	25.008825	28.998336	22.057355	27.137489	21.647935	16.050068	27.330807	29.606551	35.019561	24.236478	17.590459	24.018012	44.439127	28.703771	24.072927	18.252387	17.630027	36.710965	21.296671	16.606886	27.148923	26.174745	25.128557	20.83311	23.804287	26.75759
Alad	8.292299	11.094543	10.193644	11.142522	3.794018	4.876347	8.165393	8.56178	8.233723	10.376788	7.719588	12.892626	10.84894	8.734899	14.957408	9.543846	6.742827	8.85518	9.333247	12.751704	10.088033	13.09317	7.936807	10.561228	5.092295	7.2286	6.925879	5.793968	11.261169	11.24272	5.144906	8.260391	12.418945	13.315245	12.296282	8.224199	5.055872	9.571293	6.974473	7.921904	10.768013	11.603409	12.629982	10.320608	11.317219	9.892562	8.692952	7.370713	9.273606	7.225081	10.851623	8.400737	6.595361	8.085718	8.425903	10.724766	15.839258	9.404582	7.410437	10.166049	7.012945	8.409116	10.58544	11.655321
Alas1	44.512627	41.531129	54.195192	36.347537	23.100462	27.192403	45.806947	29.552846	44.469926	72.201948	61.306092	62.501293	38.971778	62.287238	62.217913	89.389963	37.593977	32.995246	50.724187	65.056539	38.902642	60.583542	46.582887	72.620771	41.910033	73.57708	16.9929	27.406901	53.905548	62.538872	39.500725	47.661101	71.232512	99.790689	51.811304	53.940662	34.783381	52.935003	44.713655	76.006036	48.869783	60.830969	77.262542	48.941758	55.984701	62.911376	73.267855	59.428254	39.910215	51.487392	84.700069	65.387208	56.674323	31.013465	49.696172	74.914276	62.203712	34.967158	63.993202	73.832487	57.196838	42.509256	65.822289	73.916098
Alas2	4.556604	8.251577	5.345724	4.294944	5.02455	3.617343	5.745369	8.419373	9.436735	14.805677	2.493228	7.758475	10.484001	8.653277	5.248815	7.317907	9.551665	19.13638	12.637557	9.893337	5.314732	6.045787	18.733288	19.94426	7.926329	12.363622	9.687949	11.09944	49.818884	28.287151	13.721878	14.251872	8.54659	11.114111	4.915299	5.608768	5.701337	9.556032	9.73048	13.50502	5.148497	7.164339	9.351191	11.026953	7.991272	11.856068	17.627428	8.709416	35.74132	18.590744	13.483764	8.436688	4.653275	8.02661	9.031771	9.974521	6.727919	6.376582	7.344625	12.172974	13.68815	16.686014	5.78052	6.749816
Alb	0.054686	0	0	0	0.44972	0.255888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188642	0	0	0.054538	0	0	0.99942	0.337107	0.353101	0.40991	0.512478	0.355352	0.103154	0.09502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06381	0	0	0	0.099329	0	0	0	0.049249	0	0	0	0	0	0	0
Alcam	2.149718	2.05956	1.235223	3.210881	33.001826	28.809436	2.629313	2.471274	4.233398	3.798749	1.827091	3.540525	2.044878	4.614496	1.646539	1.240724	2.373154	2.70631	1.33803	2.961287	1.487872	2.195541	6.235413	0.783071	4.948284	4.079743	3.595134	8.617493	24.53446	9.732662	5.006905	12.507334	1.807296	1.938558	2.215728	2.256265	3.134846	2.868274	6.627137	4.581435	2.189386	2.008349	2.883009	4.153599	3.167211	4.995639	2.441132	3.462864	3.031519	6.316145	4.696762	1.478268	1.469985	2.210106	1.902189	2.799752	3.222757	8.601334	2.237084	0.916516	3.936499	2.10334	1.469569	3.201082
Aldh16a1	1.242355	0	1.923638	0.862993	1.233989	2.957759	0	0	0	1.54495	0	0	1.100598	0	0.706285	0	0.433726	0.9957	0	2.340237	1.228611	1.572309	0	1.130865	1.129471	1.187136	1.408979	2.118443	1.198858	4.571715	1.786218	1.10669	0.689722	1.739743	0.489091	0.949763	0	0	0.620116	0.928043	0.976902	1.119842	0.518939	0	0.652933	0.69553	0	1.097186	0.983879	0	2.310477	1.264564	0.635208	0	0	0	0.805496	0	1.256135	0.614762	0	0.960957	1.825798	1.424597
Aldh18a1	2.225915	2.156185	2.769883	2.542789	6.328533	7.990348	3.219292	1.582474	3.023829	3.781134	3.824985	2.086423	4.361949	4.488566	2.152005	2.038617	3.547521	2.118223	6.045167	2.697848	5.402088	3.583259	3.946843	4.093565	2.858518	3.442899	2.527266	6.861997	9.403286	7.166278	5.304005	9.540389	3.104208	3.101058	4.206038	3.470148	2.306839	6.747712	3.168171	5.674545	1.872668	1.850818	2.934321	1.567951	3.264744	5.10401	3.33206	4.113838	3.360704	1.876183	7.033832	3.443627	1.775707	1.510198	2.095972	2.903422	2.96013	2.208345	2.24089	1.853222	2.067188	2.497115	2.222322	2.69686
Aldh1a1	5.084701	8.763964	5.207345	5.805803	2.494773	0	6.905038	3.676308	10.367038	7.497774	7.535602	6.674989	12.899121	3.552168	5.837337	5.396236	10.170563	11.874614	12.981866	5.195668	18.098363	13.079691	14.096503	9.663672	7.547765	3.208347	4.454775	8.394663	4.672235	5.987897	13.652772	18.583555	4.433537	5.417973	8.04359	14.077341	8.019391	17.658718	11.960966	18.150014	3.557256	4.65526	4.388309	0	13.384755	26.539221	7.228207	8.245607	12.326953	14.360889	14.797188	13.641452	4.003912	6.98234	5.363248	17.914636	6.854889	9.530759	5.219767	10.234911	3.368398	6.078677	9.149061	5.990688
Aldh1a2	1.205972	1.395169	2.087781	1.895978	30.171098	24.581809	2.142722	2.715262	2.411419	2.60488	1.908377	3.098998	5.193491	4.394874	2.901979	2.050608	0.551345	0.92232	3.508746	3.357006	3.706643	1.315415	0.982198	2.662524	1.702133	4.369007	2.243184	7.440522	53.058385	28.780758	5.282831	18.396497	1.35746	1.236044	2.514831	1.972861	1.679187	1.691629	5.999356	5.653966	1.993262	1.69871	2.457783	2.735022	3.407785	5.491368	7.347009	4.517406	3.164047	1.601818	2.610829	1.922925	1.710368	1.67869	2.172785	2.80074	1.542358	1.071731	1.790495	2.139855	1.816462	2.189699	1.811657	1.999283
Aldh1a3	0.293064	0.916425	0.416708	0.488329	0.820567	1.246738	0.186025	0.524342	0.49862	1.181079	0.299697	0.263634	0.659381	0.537552	0.074827	0.191349	0.127948	0.845301	0.208282	0.275104	0.777575	0.694744	0.81371	1.792618	1.602345	1.532527	0.941136	1.0449	3.336111	2.384562	0.717217	2.942822	0.187627	0.206576	0.175662	1.451874	0.214902	0.784774	1.247387	1.801672	0.660136	0.320723	0.254009	0.464254	0.892717	0.97209	0.399679	0.45772	1.159244	0.79976	0.874293	1.931407	0.267022	0.253621	0.157273	0.485514	0.434792	0.657468	0.473286	0.307772	0.225994	0.615255	0.107049	0.276791
Aldh1a7	0.060006	0.053673	0	0.158941	0	0.06084	0.110488	0.050312	0.242929	0.219687	0	0.059721	0	0	0	0	0.064579	0	0	0.223063	0	0.054594	0.065692	0	0	0	0	0	0.147495	0	0	0	0.05606	0	0	0.048815	0	0	0.232914	0	0	0	0	0.204329	0	0	0.067653	0	0.133814	0	0.155794	0	0	0	0.324275	0.11796	0	0	0	0.171907	0.05737	0	0.055819	0.130142
Aldh1b1	1.235287	1.448281	1.621451	1.555983	0.701616	0.869078	1.417732	0.978173	0.761803	1.675885	1.853735	1.749376	1.883845	1.264327	1.719819	1.17111	1.291747	0.920337	1.443064	3.069461	0.708723	1.210846	0.799387	1.916456	0.992709	1.029504	0.633654	1.427473	1.0023	0.474668	0.826487	1.233876	1.097695	1.879914	1.874004	1.759628	1.181976	1.26521	0.806146	1.977019	1.354912	1.721226	2.42226	2.120064	1.806436	2.517589	2.020903	1.650634	0.804321	1.287125	1.905932	1.764166	1.137089	0.739247	1.132727	1.853909	2.572142	1.558845	1.690201	1.415263	1.641924	2.09458	2.291003	1.701686
Aldh1l1	0.703966	1.508576	0.135941	1.562537	1.93638	0.709968	0.606199	0.983101	0.147922	0.595488	0.36904	3.43613	0.64581	0.054829	0.842064	1.79784	1.41513	2.540347	0	0.819401	0.913299	1.095968	2.735949	1.879601	0.710572	1.116756	0.800682	2.285879	0.624433	0.513142	0	0	0.515029	1.231972	0.800131	0.11352	0.058621	1.30467	0.561427	0.519585	0.142365	0.90006	1.361462	2.039377	0	1.145409	0.480683	1.016387	0.749659	1.696757	1.325171	1.134606	0.617283	1.275444	0.512385	0.905747	0.922411	1.507233	1.198347	0.93772	0.910013	1.439284	0.779445	1.554831
Aldh1l2	2.027848	1.449597	2.261344	1.704435	4.165505	2.682903	2.051801	1.874087	2.359667	2.163716	1.734525	2.140463	1.040246	2.318195	1.559319	2.603903	2.107506	3.097922	2.709329	3.011142	1.207499	1.683898	1.693386	3.545014	2.050841	1.753351	1.251908	1.630546	3.356088	3.26746	1.338501	1.965237	1.720885	1.76389	1.605033	0.974569	1.219779	1.65218	1.839676	1.505727	1.503399	1.298215	1.971087	2.244892	1.877721	2.491322	2.318464	2.106634	1.254796	2.056721	3.630546	2.032429	3.177052	2.391362	1.451268	1.540984	1.160939	2.242365	1.031054	0.850722	3.538223	2.917063	1.424927	2.251175
Aldh2	50.758819	96.355513	77.789615	64.990197	46.729776	56.120325	65.225742	63.636645	49.545272	62.72332	71.790325	106.212543	116.422746	82.113995	75.379481	92.907152	50.264171	82.036114	77.212181	87.148991	51.232989	80.35474	62.9312	71.426519	64.146911	75.340072	37.954373	53.403875	49.034473	49.684874	51.107743	72.954212	63.98156	125.790631	78.495547	57.37618	44.176575	67.354827	61.651025	83.096045	71.620348	58.011895	80.334909	64.201879	63.029541	105.396817	86.065615	65.289271	92.817095	69.067279	134.806929	69.642254	52.608306	67.262397	46.743051	77.856979	107.881678	93.033605	60.759141	86.785437	57.469479	78.34722	75.300339	95.56447
Aldh3a1	0.114729	0.093553	0	0.335093	0.137265	0.234833	0	0.185539	0.058053	0.479283	0.162228	0.053507	0.28641	0.05954	0.05122	0.107078	0.06314	0.470766	0.134073	0.208827	0	0	0.184586	0	0.209447	0.239529	0	0.296913	0.072306	0	0.411721	0.101097	0	0.044035	0.479458	0.047188	0.052813	0.154024	0.171507	0.167051	0.170602	0.115462	0.372815	0	0.501808	0.510385	0.06631	0.137482	0.250113	0.072845	0.159582	0.344427	0	0.066661	0	0.056805	0	0.151359	0	0	0	0.124835	0.105537	0.243567
Aldh3a2	14.655436	12.197023	10.361526	6.951758	9.966084	10.744802	10.590411	9.158302	11.349305	16.331438	9.60086	14.033089	18.019999	12.570277	8.732988	10.430942	11.111944	15.290378	12.416665	8.979255	11.978064	10.280038	11.518477	10.595742	10.72714	21.62745	9.494436	8.760818	11.512835	10.033022	12.232576	14.002435	12.909327	14.431584	8.526664	11.917618	6.140587	14.787727	9.71637	19.970289	14.53697	8.319222	9.025843	12.166531	13.418851	18.378194	12.948674	9.994529	12.44326	11.977097	16.022439	13.329656	12.076726	17.264125	6.319106	8.375637	7.644756	9.254447	9.283006	12.454426	10.670485	13.972669	8.051212	11.910282
Aldh3b1	0.431925	0.560813	1.218629	0.775411	6.78483	5.736932	0.344828	0.229986	0.712849	0.856204	0.173322	0.649341	1.356332	0.321817	0.586918	0.461869	0.692996	0.797475	1.035049	1.008304	0.698865	0.83043	0.835161	0.633035	1.286981	1.916198	1.041176	3.37106	6.845606	2.11882	1.04098	4.2932	0.683962	0.547095	0.506554	0.688406	0.888378	0.824796	1.074785	1.256726	1.018639	0.368638	0.837653	1.006287	1.139766	1.00622	1.000577	0.800238	1.480414	0.531806	1.054294	0.744769	0.070976	0.601108	0.470161	0.721325	0.845312	0.904299	0.635932	0.305794	0.253815	0.566887	0.269801	0.437989
Aldh3b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068742	0	0	0	0	0	0	0	0	0.137288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172285	0	0	0	0	0	0	0	0.077616	0	0	0	0	0	0.090181	0.142654	0	0	0	0	0	0
Aldh4a1	14.523701	20.012636	24.926125	14.677749	2.874031	3.717303	13.927602	13.892771	13.267635	16.957174	16.963555	20.221866	18.521703	17.469638	19.323399	22.434531	13.752828	17.952453	20.29074	24.364342	13.51489	19.626113	9.441287	17.143672	11.170303	12.987769	4.824799	6.593912	6.609069	8.850001	6.869528	8.872023	19.021011	23.544291	16.393055	15.733002	8.765969	15.40751	11.192111	19.7517	16.412356	17.346439	15.35683	11.663111	14.014916	16.205745	18.8573	16.082726	13.857061	12.652092	26.67579	14.138183	14.961181	12.899853	13.888127	17.637979	22.257046	13.557597	15.635995	19.598707	14.635302	15.115634	17.684738	24.431165
Aldh5a1	6.713858	8.469412	9.79016	5.070596	1.402773	1.192354	6.229455	5.996881	5.889124	7.230139	6.244136	8.208167	5.978709	7.59511	6.671773	10.080034	7.243483	6.791756	7.043394	9.889565	5.587115	7.688402	5.329719	7.931015	5.583159	6.053135	1.788759	2.47964	3.479858	4.216051	2.844069	2.745811	7.815122	9.912467	5.342664	5.58049	4.112259	7.906315	4.658866	7.450557	6.008002	8.043649	9.244885	7.310787	6.639108	7.527347	8.137333	5.597828	5.245894	5.809697	8.298365	6.549876	7.323122	6.016943	5.321523	6.454459	8.087337	6.208098	8.107204	10.413031	7.894743	6.455334	8.054832	9.397845
Aldh6a1	82.753068	72.408919	83.74057	48.313305	9.346406	8.356193	70.745745	55.70234	42.503428	87.655569	76.766076	65.269323	45.888081	81.434161	81.227716	125.223175	93.700528	65.131036	85.090139	113.682231	37.655371	65.64493	37.532407	76.540171	43.295745	73.732027	12.876481	20.572842	18.330352	23.918926	22.790781	23.148439	65.116725	110.325961	51.038706	62.871454	42.385047	74.172209	45.776471	73.871211	53.764062	95.761838	68.826831	52.602404	56.758876	74.83045	89.326943	64.54336	39.638815	64.750988	82.73795	74.667916	75.041954	41.351791	58.023682	79.17628	87.277853	55.091186	78.218967	118.83704	92.13609	59.39841	72.039455	103.828104
Aldh7a1	9.418308	10.413969	8.455361	8.079916	7.189887	10.294659	11.956313	9.832471	8.081385	11.481025	9.362508	14.004907	13.389017	9.370801	10.705972	8.933235	6.895225	11.144756	11.839123	10.224489	9.096137	10.266582	9.441964	9.449095	8.697527	8.777164	6.371169	12.532197	9.017503	8.73002	6.84916	14.369834	9.657031	7.942111	10.657318	9.425207	6.919042	8.103938	8.371718	10.448577	9.889644	10.501528	10.953448	8.975201	8.524705	10.597376	11.869643	10.7722	10.384019	7.572886	12.571973	12.898922	8.795964	6.836077	8.470206	9.630428	8.148545	15.480722	8.7256	8.538826	7.722857	8.07282	9.036097	10.250552
Aldh8a1	0	0	0.126984	0.232622	0.532482	0.13559	0	0	0	0.078984	0	0	0.172292	0	0.040555	0	0	0	0	0.10702	0.050659	0	0.097408	0	0.165586	0	0	0	0.05042	0	0.040706	0	0.041281	0	0	0.033164	0	0	0.088375	0	0	0	0	0.150413	0	0	0.356966	0	0	0.114447	0	0	0	0.04835	0	0	0.038625	0	0.053085	0.081173	0	0	0.041635	0.047432
Aldh9a1	12.158715	15.489408	17.417265	28.041509	11.973013	12.124232	13.914267	21.50533	14.704373	12.586758	10.1252	17.788207	21.9213	12.745186	11.238042	11.415336	13.923155	17.969895	20.207706	19.411643	15.967914	13.49131	19.404177	12.067292	26.571234	12.53304	13.914183	20.097362	17.457114	16.671502	13.410343	17.27214	16.357189	15.165068	12.082475	10.679218	11.133829	14.271562	17.86897	13.669838	13.018809	11.048944	21.050357	32.649314	15.521415	11.510272	20.191297	10.386885	25.880296	17.215356	15.775684	11.013607	10.701761	18.947919	10.010831	11.702617	14.590816	15.079342	14.813189	10.374516	15.016318	18.018096	14.62384	11.846551
Aldoa	722.427111	663.775649	830.016825	594.517263	301.049232	377.397351	778.134199	569.720617	591.148512	804.108475	823.469953	723.984402	901.757467	742.700131	1015.58521	846.822429	662.735133	536.789742	836.3427	1048.852133	671.658773	823.100552	655.187217	879.841512	575.991351	798.110622	405.890949	394.50756	744.361671	754.691035	637.15822	747.246915	744.195564	779.622067	1102.450543	940.094453	548.551716	614.527769	719.000956	990.260797	740.144872	855.538635	1097.309047	541.624089	905.91441	1033.428935	956.829405	1005.513896	681.01146	594.698549	1402.050869	1134.324921	711.266118	399.59287	769.301358	1070.082646	1031.457644	553.880791	907.6031	854.556116	678.061501	567.390997	944.15247	859.006138
Aldoart1	0	0	0	0	0	0.119568	0	0	0	0	0.113699	0	0	0	0	0.055327	0	0	0	0	0.067424	0	0	0	0.291522	0	0	0	0	0	0	0.052673	0.056026	0.047118	0	0	0	0	0	0.057206	0.061262	0.060569	0	0.066519	0	0	0	0.047306	0	0	0	0	0.108701	0	0	0	0	0	0	0.112784	0	0	0	0
Aldoart2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldob	5.432041	8.213207	5.189258	6.304157	0.130638	0	1.713393	4.633335	0.914089	4.33876	3.794221	6.429737	0.76886	2.702166	3.543183	6.557516	7.682957	8.72809	5.743691	12.378275	1.342001	2.709425	1.067122	6.581591	2.339482	4.5933	0.211789	0	0.422175	0.412138	0.20559	0.254453	1.210577	5.147462	0.477276	1.101419	1.55422	3.084735	0.498411	1.223437	1.52134	5.643738	2.583508	2.908551	2.188399	2.692122	3.117976	1.117849	1.141119	6.30721	0.931036	1.967487	4.833678	3.822232	2.148665	1.479332	5.680046	5.446254	2.888219	8.802943	6.70981	5.72595	2.364067	8.93706
Aldoc	0.04104	0.239274	0.168014	0	0.192551	0.754944	0	0.487648	0	1.273155	0.328089	0	0.126953	0	0.1534	0	0.077991	0.447882	0	0.238804	0	0.11146	0.042093	0	0.216551	0	0	0.06507	0.302191	0	0.070885	0.104134	0.036849	0	0	0	0.345322	0	0.20034	0.506497	0	0.068702	0.203681	0	0	0.841382	0.419038	0.38893	0	0.393075	0	0.188146	0.49639	0.242286	0	0.078913	0.273514	0	0	0.038202	0	0	0.483062	0.198498
